Time,UniqueCode,Block,Sblock,Treatment,RealTreatment,Species,Height,Diameter,Nb_leaves,WiltingStage,Chloro,R,gs,gs_bis,FvFm,Asat,E,WUE
t57,241,2,1,D2,,Tac.mel,,,,,43.2,,276,,851,9.34,2.466,3.79
t57,246,2,1,D2,,Tac.mel,,,,,42.8,,164,,873,7.34,2.902,2.528
t57,277,2,1,D2,,Pte.off,,,,,55.2,,66,,826,5.41666667,1.12833333,4.80333333
t57,278,2,1,D2,,Pte.off,,,,,67.2,,66,,835,10.5833333,2.435,4.345
t57,326,2,2,C0,,Pte.off,,,,,66.3,,9.6,,842,8.42,2.314,3.638
t57,472,3,1,C0,,Pte.off,,,,,50.3,,68,,802,7.9,2.86,2.76285714
t57,281,2,2,C0,,Sym.off,,,,,31.2,,34.5,,892,2.94,1.484,2.008
t57,286,2,2,C0,,Sym.off,,,,,31.7,,214,,882,5.7,2.6,2.192
t57,948,4,5,C0,,Sym.off,,,,,37.4,,97,,856,5.46666667,1.68,3.27333333
t57,180,1,4,C0,,Tac.mel,,,,,34.4,,256,,853,7.3,2.70666667,2.695
t57,548,4,5,C0,,Tac.mel,,,,,40.9,,290,,816,7.24,2.622,2.762
t57,549,4,5,C0,,Tac.mel,,,,,44.8,,264,,822,5.5,1.558,3.53
t57,186,1,4,C0,,Vir.sur,,,,,37.8,,72,,835,6.4,1.872,3.44
t57,187,1,4,C0,,Vir.sur,,,,,48.5,,176,,819,7.56,2.474,3.072
t57,619,3,4,D2,,Sym.off,,,,,38,,59,,429,4.66666667,2.27333333,2.05333333
t57,665,3,4,D2,,Pte.off,,,,,48.1,,32.5,,815,7.7,2.164,3.558
t57,666,3,4,D2,,Pte.off,,,,,51.1,,43.5,,794,2.8,0.902,3.106
